// This is an input file for Hudson's mssel stepftn.c program
10 N0: 50000
1
n:	50 s: 0.000000 age: 0.00074
0.01309	0.0015
0.013095	0.0025
0.01311	0.0035
0.013125	0.0045
0.01316	0.0035
0.01317	0.0045
0.013175	0.0055
0.01318	0.0065
0.01319	0.0055
0.013195	0.0065
0.0132	0.0075
0.013205	0.0085
0.01321	0.0075
0.01322	0.0085
0.013225	0.0075
0.01323	0.0085
0.01324	0.0075
0.01325	0.0065
0.013255	0.0075
0.01326	0.0065
0.013265	0.0055
0.01329	0.0065
0.0133	0.0055
0.013305	0.0045
0.013325	0.0055
0.01333	0.0065
0.013335	0.0055
0.01335	0.0065
0.013355	0.0055
0.01336	0.0065
0.013365	0.0075
0.013375	0.0065
0.01338	0.0055
0.013395	0.0045
0.013405	0.0035
0.01341	0.0045
0.01342	0.0055
0.013425	0.0065
0.01343	0.0075
0.013435	0.0085
0.01344	0.0075
0.01346	0.0085
0.013485	0.0095
0.01349	0.01125
0.013495	0.01375
0.013505	0.01125
0.01351	0.0095
0.013515	0.0085
0.01352	0.0075
0.013525	0.0065
0.01353	0.0055
0.01354	0.0065
0.013555	0.0055
0.013575	0.0065
0.01358	0.0055
0.013585	0.0065
0.013595	0.0055
0.013615	0.0065
0.01362	0.0075
0.013625	0.0065
0.01363	0.0055
0.013635	0.0045
0.013655	0.0055
0.01366	0.0045
0.01368	0.0035
0.013685	0.0045
0.013695	0.0035
0.0137	0.0025
0.013725	0.0035
0.01373	0.0045
0.013735	0.0055
0.01374	0.0065
0.01375	0.0075
0.01376	0.0065
0.01377	0.0055
0.01379	0.0045
0.0138	0.0055
0.013805	0.0065
0.01381	0.0075
0.01382	0.0085
0.013825	0.0095
0.01383	0.01125
0.01385	0.0095
0.01386	0.0085
0.013865	0.0075
0.01387	0.0085
0.013875	0.0075
0.01388	0.0065
0.013885	0.0055
0.01389	0.0045
0.013895	0.0055
0.0139	0.0045
0.013905	0.0055
0.01393	0.0045
0.013935	0.0055
0.013945	0.0065
0.013965	0.0055
0.01397	0.0065
0.01398	0.0075
0.013985	0.0065
0.013995	0.0075
0.014005	0.0065
0.01401	0.0075
0.014015	0.0085
0.01402	0.0075
0.014025	0.0085
0.01403	0.0075
0.01405	0.0085
0.014065	0.0075
0.01407	0.0065
0.014075	0.0055
0.014085	0.0045
0.01409	0.0035
0.014115	0.0045
0.014125	0.0035
0.01413	0.0045
0.014165	0.0055
0.01417	0.0045
