// This is an input file for Hudson's mssel stepftn.c program
10169 N0: 10000
1
n:	102 s: 0.000000 age: 0.011500
0.113275	0.125000
0.113325	0.095000
0.113525	0.085000
0.113675	0.075000
0.114350	0.065000
0.114925	0.055000
0.115000	0.065000
0.115550	0.055000
0.116350	0.065000
0.116525	0.075000
0.116775	0.065000
0.117725	0.075000
0.117775	0.065000
0.117825	0.075000
0.117950	0.065000
0.118100	0.055000
0.118125	0.065000
0.118175	0.055000
0.119075	0.045000
0.119125	0.055000
0.119375	0.065000
0.120375	0.055000
0.120700	0.045000
0.120850	0.055000
0.120950	0.045000
0.121100	0.055000
0.121925	0.065000
0.122050	0.055000
0.122500	0.045000
0.122625	0.055000
0.123000	0.045000
0.123075	0.055000
0.123125	0.045000
0.123225	0.055000
0.123275	0.045000
0.123325	0.055000
0.123375	0.045000
0.123550	0.055000
0.123850	0.045000
0.123925	0.055000
0.124175	0.065000
0.124375	0.075000
0.124475	0.065000
0.124525	0.075000
0.124700	0.065000
0.125500	0.075000
0.125575	0.065000
0.125875	0.075000
0.126125	0.085000
0.126175	0.095000
0.126200	0.085000
0.126250	0.095000
0.126425	0.125000
0.126450	0.095000
0.126675	0.085000
0.126875	0.075000
0.127025	0.085000
0.127150	0.075000
0.127650	0.085000
0.127675	0.075000
0.127700	0.085000
0.127775	0.075000
0.127975	0.085000
0.128025	0.075000
0.128050	0.085000
0.128075	0.075000
0.128325	0.085000
0.128400	0.075000
0.128450	0.085000
0.128475	0.075000
0.128825	0.085000
0.129225	0.075000
0.129250	0.085000
0.129300	0.075000
0.129525	0.065000
0.129775	0.075000
0.130850	0.065000
0.130950	0.075000
0.131000	0.065000
0.131025	0.075000
0.131525	0.085000
0.131700	0.075000
0.131725	0.085000
0.131950	0.075000
0.132100	0.065000
0.132175	0.075000
0.132300	0.085000
0.132450	0.075000
0.132575	0.085000
0.132775	0.075000
0.132825	0.085000
0.132850	0.075000
0.133675	0.085000
0.133900	0.095000
0.134975	0.085000
0.135200	0.075000
0.135300	0.085000
0.135325	0.075000
0.135425	0.085000
0.136475	0.075000
0.137525	0.085000
0.137575	0.075000
0.137600	0.085000
0.138225	0.075000
0.138275	0.085000
0.138475	0.095000
0.138600	0.125000
0.139925	0.095000
0.139975	0.125000
0.140050	0.095000
0.140175	0.085000
0.140575	0.075000
0.141550	0.085000
0.141825	0.095000
0.142150	0.125000
0.149375	0.095000
0.149850	0.125000
0.151900	0.175000
0.152175	0.125000
0.162250	0.175000
0.163825	0.125000
0.171125	0.095000
0.171175	0.125000
0.171200	0.095000
0.171625	0.085000
0.171750	0.095000
0.171975	0.085000
0.172000	0.095000
0.172050	0.085000
0.172075	0.095000
0.172750	0.085000
0.172800	0.095000
0.172875	0.085000
0.172950	0.095000
0.173000	0.085000
0.173050	0.095000
0.173075	0.085000
0.173200	0.095000
0.173650	0.085000
0.173675	0.095000
0.173750	0.085000
0.174425	0.095000
0.174725	0.125000
0.174750	0.095000
0.175200	0.085000
0.175250	0.095000
0.175675	0.085000
0.175875	0.095000
0.176325	0.085000
0.176600	0.095000
0.176700	0.085000
0.176775	0.095000
0.176800	0.085000
0.176975	0.095000
0.177450	0.085000
0.177525	0.095000
0.177650	0.085000
0.177725	0.095000
0.177800	0.085000
0.177825	0.095000
0.178275	0.085000
0.178325	0.095000
0.178375	0.085000
0.178500	0.095000
0.178775	0.125000
0.179100	0.095000
0.179150	0.125000
0.181300	0.175000
0.181350	0.125000
0.181400	0.175000
0.181500	0.125000
0.181725	0.175000
0.182075	0.125000
0.185425	0.175000
0.185875	0.125000
0.190025	0.175000
0.192350	0.125000
0.197825	0.175000
0.197975	0.125000
0.198350	0.175000
0.201350	0.125000
0.201550	0.175000
0.201675	0.125000
0.202125	0.175000
0.202275	0.125000
0.205550	0.095000
0.205575	0.125000
0.205650	0.095000
0.206225	0.125000
0.206350	0.095000
0.206550	0.125000
0.206625	0.095000
0.206750	0.125000
0.206875	0.095000
0.206900	0.125000
0.206925	0.095000
0.207000	0.125000
0.207600	0.095000
0.208000	0.125000
0.208075	0.095000
0.208150	0.125000
0.209425	0.095000
0.209600	0.085000
0.209775	0.075000
0.209975	0.085000
0.210075	0.075000
0.210725	0.065000
0.210925	0.055000
0.211625	0.045000
0.211650	0.055000
0.212000	0.045000
0.212025	0.055000
0.212425	0.065000
0.212500	0.055000
0.212600	0.065000
0.213050	0.055000
0.213075	0.065000
0.213250	0.055000
0.213275	0.065000
0.213700	0.055000
0.213825	0.065000
0.214725	0.075000
0.214775	0.065000
0.214825	0.075000
0.214925	0.085000
0.215275	0.075000
0.215400	0.085000
0.215425	0.075000
0.215450	0.085000
0.215700	0.075000
0.215725	0.085000
0.215750	0.075000
0.216050	0.085000
0.216075	0.075000
0.216100	0.085000
0.216175	0.075000
0.216450	0.085000
0.216475	0.075000
0.216500	0.085000
0.216900	0.095000
0.216950	0.085000
0.216975	0.095000
0.217200	0.085000
0.217525	0.095000
0.217675	0.085000
0.217825	0.095000
0.217900	0.085000
0.217975	0.095000
0.218150	0.085000
0.218200	0.095000
0.218250	0.085000
0.218275	0.095000
0.219000	0.085000
0.219100	0.095000
0.219675	0.125000
0.226800	0.175000
0.227125	0.125000
0.227775	0.175000
0.228575	0.125000
0.228650	0.175000
0.239400	0.250000
0.241600	0.175000
0.242300	0.250000
0.247625	0.175000
0.247675	0.250000
0.247775	0.175000
0.248025	0.250000
0.248200	0.175000
0.248400	0.250000
0.248650	0.175000
0.248775	0.250000
0.248950	0.175000
0.249050	0.250000
0.249250	0.175000
0.252925	0.250000
