REP	0
TRA	0.0038	0.0015
TRA	0.003925	0.0005
TRA	0.004	0.0015
TRA	0.0041	0.0025
TRA	0.0044	0.0015
TRA	0.00445	0.0025
TRA	0.004575	0.0035
TRA	0.0047	0.0045
TRA	0.004775	0.0055
TRA	0.00485	0.0045
TRA	0.004875	0.0055
TRA	0.00495	0.0065
TRA	0.005	0.0075
TRA	0.005025	0.0065
TRA	0.005075	0.0075
TRA	0.005125	0.0065
TRA	0.00515	0.0075
TRA	0.005175	0.0085
TRA	0.0052	0.0075
TRA	0.005325	0.0065
TRA	0.00535	0.0075
TRA	0.0054	0.0065
TRA	0.005425	0.0075
TRA	0.00545	0.0065
TRA	0.005475	0.0075
TRA	0.0055	0.0085
TRA	0.005525	0.0095
TRA	0.005575	0.01125
TRA	0.005625	0.0095
TRA	0.00565	0.0085
TRA	0.0057	0.0075
TRA	0.00575	0.0085
TRA	0.0058	0.0095
TRA	0.005825	0.0085
TRA	0.00585	0.0095
TRA	0.0059	0.0085
TRA	0.005925	0.0075
TRA	0.005975	0.0065
TRA	0.006075	0.0055
TRA	0.0061	0.0065
TRA	0.00615	0.0075
TRA	0.0062	0.0065
TRA	0.00625	0.0055
TRA	0.006275	0.0065
TRA	0.0064	0.0075
TRA	0.00645	0.0065
TRA	0.00655	0.0055
TRA	0.006675	0.0045
TRA	0.00675	0.0055
TRA	0.006775	0.0045
TRA	0.0069	0.0055
TRA	0.007025	0.0065
TRA	0.00705	0.0055
TRA	0.007075	0.0065
TRA	0.00715	0.0075
TRA	0.007175	0.0065
TRA	0.0073	0.0075
TRA	0.007325	0.0085
TRA	0.0074	0.0075
TRA	0.007425	0.0085
TRA	0.00745	0.0075
TRA	0.00755	0.0065
TRA	0.007575	0.0055
TRA	0.00765	0.0045
TRA	0.0077	0.0055
TRA	0.007725	0.0065
TRA	0.00775	0.0055
TRA	0.007925	0.0065
TRA	0.00805	0.0055
TRA	0.0081	0.0045
TRA	0.008125	0.0035
TRA	0.00825	0.0045
TRA	0.0083	0.0035
TRA	0.008375	0.0025
TRA	0.008625	0.0035
TRA	0.008725	0.0045
TRA	0.00875	0.0035
TRA	0.008775	0.0045
TRA	0.0088	0.0035
TRA	0.00885	0.0025
TRA	0.008875	0.0035
TRA	0.0089	0.0045
TRA	0.00895	0.0035
TRA	0.00905	0.0045
TRA	0.009075	0.0035
TRA	0.0091	0.0045
TRA	0.009175	0.0055
TRA	0.0092	0.0065
TRA	0.009275	0.0055
TRA	0.00935	0.0045
TRA	0.00945	0.0035
TRA	0.009475	0.0025
TRA	0.0095	0.0035
TRA	0.009575	0.0025
TRA	0.0096	0.0015
TRA	0.009675	0.0025
TRA	0.0097	0.0015
TRA	0.009925	0.0025
TRA	0.00995	0.0015
TRA	0.010125	0.0005
TRA	0.011175		0
TOT	446
REP	7
TRA	0	0.0095
TRA	2.5e-05	0.01125
TRA	0.000175	0.0095
TRA	0.0002	0.01125
TRA	0.000325	0.0095
TRA	0.00035	0.0085
TRA	0.0004	0.0095
TRA	0.00045	0.01125
TRA	0.000475	0.0095
TRA	0.0005	0.01125
TRA	0.0006	0.0095
TRA	0.00065	0.01125
TRA	0.000925	0.0095
TRA	0.000975	0.01125
TRA	0.00105	0.0095
TRA	0.001075	0.01125
TRA	0.0013	0.01375
TRA	0.001575	0.0175
TRA	0.00215	0.025
TRA	0.0023	0.0175
TRA	0.00235	0.025
TRA	0.0024	0.0175
TRA	0.002425	0.025
TRA	0.00245	0.0175
TRA	0.0028	0.025
TRA	0.00285	0.0175
TRA	0.00315	0.01375
TRA	0.003275	0.01125
TRA	0.003375	0.01375
TRA	0.00365	0.01125
TRA	0.0037	0.01375
TRA	0.003725	0.01125
TRA	0.00375	0.01375
TRA	0.003775	0.01125
TRA	0.0038	0.01375
TRA	0.003825	0.01125
TRA	0.003975	0.01375
TRA	0.004025	0.01125
TRA	0.00405	0.01375
TRA	0.0041	0.01125
TRA	0.0042	0.01375
TRA	0.004225	0.01125
TRA	0.004275	0.01375
TRA	0.004375	0.01125
TRA	0.0047	0.01375
TRA	0.004825	0.0175
TRA	0.00485	0.01375
TRA	0.004875	0.01125
TRA	0.00495	0.01375
TRA	0.005	0.01125
TRA	0.005025	0.0095
TRA	0.00505	0.01125
TRA	0.0052	0.01375
TRA	0.005375	0.0175
TRA	0.0054	0.01375
TRA	0.005425	0.0175
TRA	0.005625	0.025
TRA	0.005675	0.0175
TRA	0.0057	0.025
TRA	0.0058	0.0175
TRA	0.006175	0.01375
TRA	0.006425	0.0175
TRA	0.006525	0.01375
TRA	0.006575	0.0175
TRA	0.006625	0.01375
TRA	0.0067	0.0175
TRA	0.006725	0.01375
TRA	0.00675	0.0175
TRA	0.00685	0.01375
